date,temperature,max_temperature,min_temperature,rainfall,humidity,wind_speed
2015-04-13,23.96,29.8,20.76,1.63,60.72,1.9
2015-04-14,25.23,31.78,18.86,0.44,54.6,1.26
2015-04-15,26.56,32.91,20.88,1.06,51.17,1.21
2015-04-16,27.36,34.74,21.06,0.09,48.23,1.46
2015-04-17,27.61,35.89,19.85,0.03,43.56,3.09
2015-04-18,30.0,39.47,20.91,0.0,37.8,2.73
2015-04-19,31.85,40.86,22.68,0.0,33.5,1.6
2015-04-20,31.42,39.54,23.56,0.01,32.27,1.93
2015-04-21,30.13,39.23,21.36,0.0,31.3,2.62
2015-04-22,29.57,39.65,20.05,0.0,27.18,2.64
2015-04-23,30.9,39.96,21.61,0.0,24.31,1.55
2015-04-24,33.69,40.47,27.26,0.0,17.76,0.68
2015-04-25,32.41,40.43,25.18,0.0,20.61,1.34
2015-04-26,28.83,36.31,21.6,0.01,43.9,2.65
2015-04-27,30.26,38.33,22.16,0.46,40.22,2.34
2015-04-28,31.56,38.9,23.38,3.02,41.71,1.58
2015-04-29,32.18,38.68,25.95,0.02,31.01,1.09
2015-04-30,32.23,40.36,23.92,0.0,30.15,1.87
2015-05-01,31.35,37.96,24.94,0.46,32.86,1.23
2015-05-02,31.28,38.43,25.02,0.11,30.17,1.56
2015-05-03,31.81,39.89,23.67,0.0,21.83,1.29
2015-05-04,32.98,40.75,25.21,0.0,18.21,1.21
2015-05-05,32.42,41.96,22.83,0.0,20.49,1.88
2015-05-06,33.6,43.54,22.55,0.0,15.9,3.6
2015-05-07,34.61,44.07,24.73,0.0,15.73,3.7
2015-05-08,34.67,43.2,26.72,0.0,15.84,3.12
2015-05-09,34.92,42.87,26.35,0.0,22.1,1.96
2015-05-10,35.4,43.43,26.91,0.0,22.23,1.8
2015-05-11,36.38,43.36,28.06,0.01,21.17,1.35
2015-05-12,35.39,41.05,29.91,0.61,24.32,1.12
2015-05-13,34.14,40.77,26.96,0.43,26.89,1.62
2015-05-14,33.0,39.37,26.3,1.04,27.4,1.51
2015-05-15,33.45,40.34,26.23,0.4,28.52,2.52
2015-05-16,34.35,40.08,28.62,2.3,26.33,0.99
2015-05-17,34.73,41.48,26.35,0.0,23.54,1.64
2015-05-18,37.02,43.84,27.88,0.0,20.02,1.41
2015-05-19,38.28,45.73,30.85,0.0,16.92,2.43
2015-05-20,36.09,43.55,28.62,1.53,17.14,4.2
2015-05-21,36.47,44.82,27.82,0.0,15.53,4.11
2015-05-22,37.27,45.41,28.68,0.0,15.6,3.82
2015-05-23,37.11,45.93,27.18,0.0,13.32,4.24
2015-05-24,37.6,46.44,27.0,0.17,12.83,2.53
2015-05-25,37.39,46.51,27.36,0.0,11.1,2.69
2015-05-26,36.83,46.34,27.23,0.31,10.41,3.84
2015-05-27,35.11,44.58,24.59,0.06,5.91,3.35
2015-05-28,35.3,43.77,25.5,0.0,9.12,2.61
2015-05-29,36.73,45.2,27.07,0.01,19.41,2.86
2015-05-30,36.96,44.1,28.7,0.0,19.94,2.94
2015-05-31,36.86,44.21,29.42,0.0,19.46,2.68
2015-06-01,35.93,42.92,29.9,0.38,17.44,1.55
2015-06-02,34.84,41.92,27.17,1.14,25.75,2.22
2015-06-03,35.07,41.81,27.57,0.44,22.55,1.25
2015-06-04,35.32,41.57,29.5,0.38,22.1,1.75
2015-06-05,35.16,42.29,26.78,0.1,23.04,2.1
2015-06-06,35.34,41.7,28.45,0.0,22.92,2.57
